class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _current of an atomic property at line 827, column 37. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,827,QLFConversationQueryItemsResult_hash,QLFConversationQueryItemsResult_hash{instance}.a054f051b8bcb46213e19603c3c410e0,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":827,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>827</line></qualifier_tags>,959872991,298,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _credentialType of an atomic property at line 892, column 5. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,892,QLFEncryptedRecoveryInfoType_compare:,QLFEncryptedRecoveryInfoType_compare:{instance}.2b433ccce9298f1335eae48e3b211d73,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":892,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>892</line></qualifier_tags>,304994494,326,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _encryptedMasterKey of an atomic property at line 893, column 5. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,893,QLFEncryptedRecoveryInfoType_compare:,QLFEncryptedRecoveryInfoType_compare:{instance}.2b433ccce9298f1335eae48e3b211d73,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":893,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>893</line></qualifier_tags>,304994494,325,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _encryptedItem of an atomic property at line 90, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,90,QLFCachedVaultItem_isEqualToCachedVaultItem:,QLFCachedVaultItem_isEqualToCachedVaultItem:{instance}.294de1c8c05d3b46a5c91e746d07cd7e,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":90,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>90</line></qualifier_tags>,644348299,212,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _encryptedItem of an atomic property at line 90, column 52. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,90,QLFCachedVaultItem_isEqualToCachedVaultItem:,QLFCachedVaultItem_isEqualToCachedVaultItem:{instance}.294de1c8c05d3b46a5c91e746d07cd7e,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":90,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>90</line></qualifier_tags>,644348299,214,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _credentialType of an atomic property at line 912, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,912,QLFEncryptedRecoveryInfoType_isEqualToEncryptedRecoveryInfoType:,QLFEncryptedRecoveryInfoType_isEqualToEncryptedRecoveryInfoType:{instance}.471286190bee3b4e539d370eb4a69cbf,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":912,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>912</line></qualifier_tags>,288823009,329,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _encryptedMasterKey of an atomic property at line 914, column 62. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,914,QLFEncryptedRecoveryInfoType_isEqualToEncryptedRecoveryInfoType:,QLFEncryptedRecoveryInfoType_isEqualToEncryptedRecoveryInfoType:{instance}.471286190bee3b4e539d370eb4a69cbf,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":914,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>914</line></qualifier_tags>,288823009,330,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _encryptedMasterKey of an atomic property at line 914, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,914,QLFEncryptedRecoveryInfoType_isEqualToEncryptedRecoveryInfoType:,QLFEncryptedRecoveryInfoType_isEqualToEncryptedRecoveryInfoType:{instance}.471286190bee3b4e539d370eb4a69cbf,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":914,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>914</line></qualifier_tags>,288823009,331,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _authCode of an atomic property at line 92, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,92,QLFCachedVaultItem_isEqualToCachedVaultItem:,QLFCachedVaultItem_isEqualToCachedVaultItem:{instance}.294de1c8c05d3b46a5c91e746d07cd7e,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":92,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>92</line></qualifier_tags>,644348299,213,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _authCode of an atomic property at line 92, column 42. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,92,QLFCachedVaultItem_isEqualToCachedVaultItem:,QLFCachedVaultItem_isEqualToCachedVaultItem:{instance}.294de1c8c05d3b46a5c91e746d07cd7e,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":92,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>92</line></qualifier_tags>,644348299,215,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _credentialType of an atomic property at line 924, column 37. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,924,QLFEncryptedRecoveryInfoType_hash,QLFEncryptedRecoveryInfoType_hash{instance}.d780e261f1059a9b3d22d46e0e8e806f,QredoSDK/Internal/Autogenerated/QredoClient.m,"{""trace"":[{""level"":0,""filename"":""QredoSDK/Internal/Autogenerated/QredoClient.m"",""line_number"":924,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>924</line></qualifier_tags>,203917667,328,false,
